Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Orlando Magic,25.8,41,41,45,37,1.32,0.03,1.35,108.5,107.1,+1.4,96.3,.372,.133,.554,,.509,15.5,31.4,.271,,.473,11.9,68.8,.232,,Orlando Arena,"621,191","15,151"
New Jersey Nets*,27.3,43,39,45,37,1.26,-0.05,1.20,106.5,105.2,+1.3,96.0,.319,.069,.522,,.473,14.4,35.5,.244,,.480,14.1,69.5,.240,,Brendan Byrne Arena,"620,416","15,132"
Boston Celtics*,28.6,48,34,43,39,0.89,0.04,0.93,108.7,107.8,+0.9,94.9,.270,.054,.536,,.495,12.9,31.2,.210,,.479,12.9,69.0,.251,,Boston Garden,"608,495","14,890"
Los Angeles Clippers*,26.7,41,41,42,40,0.35,-0.03,0.33,107.4,107.1,+0.3,99.1,.297,.067,.530,,.493,13.9,32.7,.213,,.489,15.1,66.7,.263,,Los Angeles Memorial Sports Arena,"532,625","12,991"
Charlotte Hornets*,25.7,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,.329,.074,.547,,.499,13.8,31.3,.254,,.487,12.6,65.0,.201,,Charlotte Coliseum,"971,880","23,704"
Atlanta Hawks*,27.1,43,39,39,43,-0.87,0.20,-0.67,109.3,110.2,-0.9,97.6,.305,.148,.534,,.493,14.0,34.8,.227,,.516,14.6,68.5,.224,,Omni Coliseum,"491,229","11,981"
Golden State Warriors,25.0,34,48,38,44,-0.99,0.05,-0.94,109.2,110.2,-1.0,99.5,.342,.118,.543,,.502,14.9,34.2,.245,,.501,14.0,67.0,.261,,Oakland-Alameda County Coliseum Arena,"616,025","15,025"
Miami Heat,25.2,36,46,38,44,-1.15,0.21,-0.93,107.7,108.9,-1.2,94.6,.361,.137,.535,,.481,13.9,31.9,.279,,.495,14.2,69.8,.274,,Miami Arena,"614,915","14,998"
Los Angeles Lakers*,28.0,39,43,38,44,-1.27,0.06,-1.20,107.6,108.9,-1.3,96.2,.329,.090,.534,,.486,13.7,31.4,.249,,.500,14.3,66.4,.215,,Great Western Forum,"633,655","15,455"
Detroit Pistons,29.9,40,42,37,45,-1.39,0.29,-1.10,107.4,108.9,-1.5,93.2,.271,.126,.511,,.473,12.5,34.6,.198,,.500,13.5,67.8,.212,,The Palace of Auburn Hills,"889,614","21,698"
Denver Nuggets,24.8,36,46,36,46,-1.74,-0.40,-2.14,104.6,106.3,-1.7,99.8,.324,.062,.518,,.470,14.5,33.6,.245,,.476,13.9,68.9,.263,,McNichols Sports Arena,"586,407","14,303"
Sacramento Kings,26.5,25,57,33,49,-3.17,0.17,-3.00,106.5,109.6,-3.1,100.8,.337,.108,.530,,.481,14.1,30.7,.257,,.502,15.1,66.7,.292,,ARCO Arena (II),"709,997","17,317"
Milwaukee Bucks,26.9,28,54,31,51,-3.73,0.47,-3.26,106.2,110.1,-3.9,96.1,.301,.135,.535,,.495,14.8,30.5,.223,,.502,15.7,62.5,.266,,Bradley Center,"660,939","16,125"
Philadelphia 76ers,27.1,26,56,26,56,-5.77,0.51,-5.25,104.6,110.4,-5.8,98.5,.319,.133,.530,,.479,14.4,28.1,.251,,.504,13.3,65.9,.188,,The Spectrum,"515,284","12,568"
Washington Bullets,26.1,22,60,23,59,-7.04,0.55,-6.49,103.6,110.8,-7.2,97.7,.298,.082,.523,,.480,14.2,28.8,.223,,.510,13.6,67.1,.219,,Capital Centre,"558,966","13,772"
Minnesota Timberwolves,25.8,19,63,21,61,-7.78,0.16,-7.62,103.6,111.8,-8.2,93.8,.344,.087,.535,,.479,15.9,28.7,.275,,.503,13.5,66.3,.269,,Target Center,"754,593","18,405"
Dallas Mavericks,24.9,11,71,10,72,-15.20,0.52,-14.68,99.5,114.7,-15.2,99.5,.299,.115,.495,,.455,15.1,31.1,.210,,.519,13.5,68.1,.347,,Reunion Arena,"554,724","13,530"
League Average,27.1,,,41,41,0.00,0.00,0.00,108.0,108.0,,96.8,.323,.104,.536,,.491,14.0,32.0,.243,,.491,14.0,68.0,.243,,,"658,192","15,999"
